,Car_Name,Brand_Name,Engine Capacity,Category,Body Condition,model Year,Milage,Fuel Type,Transmission,Color,City Registered,Price
11989,Cultus,Suzuki,1000,Hatchback,Excellent,2017,144000,Petrol,Manual,Graphite Grey,Lahore,23.75
11990,Cultus,Suzuki,1000,Hatchback,Excellent,2021,38000,Petrol,Automatic,White,Sindh,33.7
11991,Cultus,Suzuki,1000,Hatchback,Good,2008,150000,Petrol,Manual,Blue,Sindh,10.0
11992,Cultus,Suzuki,1000,Hatchback,Excellent,2021,38000,Petrol,Automatic,White,Sindh,33.7
11993,Cultus,Suzuki,1000,Hatchback,Good,2008,150000,Petrol,Manual,Blue,Sindh,10.0
11994,Cultus,Suzuki,1000,Hatchback,Poor,2008,100000,Petrol,Manual,White,Karachi,8.75
11995,Cultus,Suzuki,1000,Hatchback,Excellent,2016,70000,Petrol,Manual,Solid White,Sindh,16.8
11996,Cultus,Suzuki,1000,Hatchback,Fair,2002,70000,Petrol,Manual,White,Faisalabad,6.3
11997,Cultus,Suzuki,1000,Hatchback,Excellent,2021,65000,Petrol,Manual,White,Punjab,31.5
11998,Cultus,Suzuki,1000,Hatchback,Fair,2013,57964,Petrol,Manual,Solid White,Lahore,14.5
11999,Cultus,Suzuki,1000,Hatchback,Good,2006,71000,Petrol,Manual,White,Karachi,6.9
12000,Cultus,Suzuki,1000,Hatchback,Fair,2008,99000,Petrol,Manual,Grey,Lahore,11.0
12001,Cultus,Suzuki,1000,Hatchback,Excellent,2004,96000,Petrol,Manual,Silky Silver,Lahore,9.35
12002,Cultus,Suzuki,1000,Hatchback,Good,2008,95000,Petrol,Manual,Blue,Punjab,9.0
12003,Cultus,Suzuki,1000,Hatchback,Good,2015,17620,Petrol,Manual,Graphite Grey,Punjab,17.0
12004,Cultus,Suzuki,1000,Hatchback,Good,2006,48000,Petrol,Manual,Silky Silver,Lahore,9.15
12005,Cultus,Suzuki,1000,Hatchback,Good,2013,164702,Petrol,Manual,White,Lahore,14.5
12006,Cultus,Suzuki,1000,Hatchback,Good,2008,74278,Petrol,Manual,Maroon,Islamabad,11.0
12007,Cultus,Suzuki,1000,Hatchback,Excellent,2007,100000,Petrol,Manual,Gold,Karachi,5.5
12008,Cultus,Suzuki,1000,Hatchback,Excellent,2016,117000,Petrol,Manual,Solid White,Islamabad,19.5
12009,Cultus,Suzuki,1000,Hatchback,Fair,2002,80000,Petrol,Manual,Silver,Karachi,5.4
12010,Cultus,Suzuki,1000,Hatchback,Good,2007,100000,Petrol,Manual,Silver,Sindh,7.6
12011,Cultus,Suzuki,1000,Hatchback,Good,2015,100000,Petrol,Manual,Silky Silver,Lahore,16.0
12012,Cultus,Suzuki,1000,Hatchback,Fair,2006,100000,Petrol,Manual,Graphite Grey,Lahore,7.5
